response_index,response
0,The Bridge Guest House is known for having pretty uncomfortable beds according to most guests. Only one guest found it to be comfortable.
1,The Curry Garden has a patio outside that guests say they enjoy. Do you want to make a reservation now?
2,Some of the past guests say that the bed is really comfortable while others say it is very uncomfortable.
3,"The Alexanders gets some good reviews for the staff. Guests have said they're a joy to interact with, very friendly and helpful. Would you like to know more about them?"
7,Yes they do have an incredible view which is amazing .The location is also nice and they do have amazing décor.
8,Bangkok City has some mixed reviews about their service. Some say their staff is courteous and attentive while others say they need more training and it was difficult to get drinks. Would you like to know more about the place?
10,The Bedouin has a poor location according to one customer. Do you want to know anything else about it?
12,Some of the guests of The Cambridge Belfry said that the staff was unfriendly and rude while others say that the staff was polite and kind.
14,Lovell Lodge has friendly staff that is kind and respectful. Do you want to book a reservation there?
17,"I only have one opinion and according to this opinion, the restaurant is nice inside, and it has a nice view."
23,"For those that enjoy the first meal of the day, the Allenbell serves a great variety of delicious options for breakfast."
26,"The De Luca Cucina and Bar has souvlaki, but I have no idea how much they serve or how good it is. Do you want to make a reservation anyway?"
27,"Yes, guests at Rosa's Bed and Breakfast have been thrilled with the size of the spacious rooms. Would you like to book a room?"
30,"From the reviews, there are some folks who had trouble with the slow connection and couldn't use it. Would you like me to check out some other places with better ratings?"
31,"The beds at the kirkwood are medium firm, and everyone pretty much says they feel amazing. Would you like to make a reservation?"
35,"The Autumn House's prices are satisfactory for the value, according to three recent guests who posted reviews about it."
36,The reviews on service at Taj Tandoori are positive with customers saying the staff was very attentive and good. Would you like to know more about them?
38,"The staff at Gonville Hotel are super friendly. They are very professional, helpful, and polite. Would you like to make a booking?"
40,The Avalon boasts clean bathrooms and no elevator service. Several recent guests have felt dissatisfied with the price. One guest decided they had good value for the money.
41,"Yes, they do seem to have relaxing beds at Allenbell. Past guests have described them as being extremely comfortable."
42,The A and B Guest House gets really high marks for their beds with guests saying the beds were really comfortable and they got a great night's sleep. Would you like to know more about them?
46,The Yippee Noodle Bar is a top ranked restaurant known for serving its customers with considerate food portions.
47,It's not great and is somewhat dated. Would you like me to search for a better decorated option for you?
49,"Yes, guests to Autumn House say the rooms are very clean. Should I check on availability for your travel dates?"
50,"Yes, the Alexander bed and Breakfast has good breakfast options according to guest reviews.  Is there anything else I can help you with today?"
54,I have seen reviews stating it was a favorite part of their dining experience at Cote. Is there anything else you'd like to know?
57,The reviews on the location is mixed with some people loving the location for what was around it while others thought it was a little hard to get to. Would you like to know more about them?
58,"Yes, one generally receives a good deal when the choose to stay at the Acorn Guest House as previous guests have remarked that it's value at the cost."
59,"Yes, the bathrooms at El Shaddai are very clean.  Can I answer any other questions about the guest house for you?"
61,"No, Home From Home does not charge a fee for the Wi-Fi. The internet is free of additional charges there."
64,"While at times it can be a bit noisy at night, for the most part, the Home From Home provides a quiet and calm experience."
66,Most reviews I found stated that the Mahal of Cambridge has a good location and parking is available.
67,"Customers don't agree about the portion sizes. Some describe them as being fair, and even on the bigger side, while others claim that they were still hungry after eating there."
68,"Yes, guest reviews have good things to say about the clean bathrooms. Can I answer anything else, or would you like to book it?"
70,They both have mixed reviews from one end to the other. Some customers felt the rooms were extremely clean and others were not happy with it at all. Would you like me to find another place with better reviews?
71,"The bathrooms at home from home seem to be a bit dirty, but two person said the bathroom was very clean. Do you want to know anything else?"
73,The Ali Baba gets some really high ratings on their food from customers who ordered the Baklava. Would you like to know more about them?
75,"Yes, at least one guest said that the Yangzhour fried rice at this restaurant was the favorite part of their meal."
76,"Many customers have stated that the staff was kind, courteous, great, and super friendly.  However there have been some that have stated that the staff was a little slow."
78,A reviewer said that the internet was definitely strong. The internet is also free there. Could I help you with anything else?
79,"Several guests felt that the beds were uncomfortable, although other guests reported the opposite experience."
80,"Past guests have mixed reviews about the comfort level of the bed. Some found them comfortable, but others did not. One indicated that they felt it was too firm."
84,"Many customers have stated that the staff was great and nice enough, but others have stated that the wait staff was a bit cold."
85,"According to the reviews I have on hand for that location, the staff there are welcoming and friendly.  Sounds good, right?"
86,"Yes, the staff at Acorn Guest House do seem to be nice. One person said they were welcomed with big smiles."
87,"Yes, Bedouin does serve bean cake. It was rated as very reasonably priced, according to one recent reviewer."
88,"According to the reviews that I have on hand for that location, the opinions are mixed.  One third thought they weren't cleaned before checkin, while two thirds thought they were nice, clean and pristine."
89,The Curry Princes gets some mixed reviews on portions. Some customers say the portions were quite generous while other say they were really small. Would you like to know more about them or should I look at some other places?
92,"Yes, the Curry Prince restaurant does have outdoor dining available complete with heats and a cozy atmosphere."
